Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Angola,Pesticides Agricultural Use,Tonnes,Insecticides,1990,56.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Angola,Pesticides Agricultural Use,Tonnes,Herbicides,1990,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Angola,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,5.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Angola,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,61.0,Pesticides Use per area of cropland,Kilogram per hectare,0.020000000000000004
Botswana,Pesticides Agricultural Use,Tonnes,Insecticides,1990,272.0,Pesticides Use per area of cropland,Kilogram per hectare,0.83
Botswana,Pesticides Agricultural Use,Tonnes,Herbicides,1990,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.83
Botswana,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,20.0,Pesticides Use per area of cropland,Kilogram per hectare,0.83
Botswana,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,344.0,Pesticides Use per area of cropland,Kilogram per hectare,0.83
Lesotho,Pesticides Agricultural Use,Tonnes,Insecticides,1990,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Herbicides,1990,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Mozambique,Pesticides Agricultural Use,Tonnes,Insecticides,1990,27.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Herbicides,1990,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Malawi,Pesticides Agricultural Use,Tonnes,Insecticides,1990,82.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Herbicides,1990,51.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,133.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Namibia,Pesticides Agricultural Use,Tonnes,Insecticides,1990,79.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Herbicides,1990,153.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1990,223.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1990,455.0,Pesticides Use per area of cropland,Kilogram per hectare,0.8699999999999999
Eswatini,Pesticides Agricultural Use,Tonnes,Insecticides,1990,268.0,Pesticides Use per area of cropland,Kilogram per hectare,3.86
